foot_traffic,avg_income,competitor_count,rent_cost,population_density,parking_score,visibility_score,hygiene_rating,marketing_score,vendor_category
699.0,81.0,3,138.4,68.9,2,2,4.1,81.7,0
572.0,73.9,6,100.8,93.1,6,2,4.9,55.4,1
730.0,60.9,4,72.9,60.1,3,6,2.4,73.8,1
905.0,50.3,6,148.2,61.1,2,1,2.6,63.0,0
553.0,70.5,9,107.1,77.2,1,6,4.6,67.3,1
553.0,65.9,7,161.9,61.3,8,5,1.6,75.6,0
916.0,73.4,8,42.6,72.3,1,6,1.1,37.2,0
753.0,69.5,3,115.9,46.7,5,5,4.6,72.5,2
506.0,75.7,2,167.6,100.0,6,7,4.3,55.8,2
709.0,52.0,4,99.4,49.8,3,1,4.9,40.8,0
507.0,79.8,2,103.2,65.2,7,3,1.2,75.5,1
507.0,63.0,4,118.9,69.5,2,6,1.6,51.5,0
648.0,91.1,8,93.2,98.7,7,1,1.4,67.5,0
217.0,49.7,5,100.6,50.1,2,7,3.7,10.0,1
255.0,86.0,8,99.9,99.8,5,4,3.4,74.5,2
488.0,63.0,6,91.2,81.4,7,3,2.4,100.0,2
397.0,50.2,4,146.9,76.3,3,10,1.2,59.8,0
663.0,52.7,9,123.8,55.2,4,9,3.6,54.7,1
418.0,55.2,6,117.5,78.6,1,1,3.3,50.8,0
318.0,66.4,6,134.3,59.1,3,8,1.5,71.1,0
893.0,67.8,4,102.1,89.0,9,1,4.6,53.9,2
555.0,51.4,2,86.8,55.4,10,5,1.8,73.0,1
614.0,59.6,6,91.9,68.3,5,10,4.0,94.4,2
315.0,92.1,9,110.1,61.7,8,8,4.5,76.8,1
491.0,85.9,3,78.2,55.2,2,6,3.3,56.5,1
622.0,66.5,2,95.0,81.1,3,7,2.0,37.7,1
370.0,60.6,4,94.5,78.0,7,8,2.2,51.8,1
675.0,61.8,7,173.7,88.1,10,6,4.5,56.8,2
480.0,69.2,4,40.0,43.3,4,6,2.2,33.6,1
542.0,44.7,4,104.6,86.0,9,6,4.0,81.7,2
480.0,56.1,8,161.8,100.0,7,5,5.0,71.4,1
970.0,35.0,5,113.7,63.2,1,8,5.0,39.0,0
597.0,66.0,8,132.6,98.4,4,2,3.1,24.4,0
388.0,69.7,4,113.0,66.1,10,7,4.3,74.4,2
765.0,52.8,6,90.0,49.4,6,4,5.0,27.1,2
356.0,83.6,6,42.7,65.4,6,1,2.5,61.7,0
642.0,41.6,3,116.2,85.7,10,5,2.0,51.8,1
208.0,38.0,7,86.7,57.4,6,3,1.5,76.0,1
334.0,63.4,8,86.0,61.0,5,4,1.6,76.2,0
639.0,75.7,11,95.0,78.9,3,7,4.4,43.6,0
748.0,85.3,8,162.3,70.0,2,5,3.4,77.8,1
634.0,53.1,3,182.1,78.8,3,4,4.5,54.2,0
577.0,76.2,6,116.5,73.6,9,1,4.2,60.4,0
540.0,59.4,3,96.1,77.2,3,6,3.7,60.8,1
304.0,57.4,6,74.7,63.5,3,10,3.4,100.0,1
456.0,73.3,9,124.1,73.5,1,6,1.2,57.6,0
508.0,69.8,5,163.5,56.1,2,7,4.5,26.6,2
811.0,36.4,2,102.6,89.3,3,1,2.7,45.7,1
669.0,82.1,8,40.0,60.5,2,4,3.2,74.8,2
247.0,80.7,9,130.1,86.9,8,9,1.1,54.3,1
665.0,50.6,5,139.6,66.5,6,10,4.7,60.3,2
523.0,65.9,7,62.4,73.0,7,6,4.6,51.4,2
465.0,67.4,7,115.3,62.6,1,2,3.2,10.0,0
722.0,63.9,2,123.5,54.8,6,4,3.3,44.4,0
806.0,51.7,5,107.8,43.8,2,6,3.8,58.5,0
786.0,49.9,2,86.3,54.2,6,4,2.1,24.6,0
432.0,59.6,9,140.5,65.1,3,10,1.9,36.4,0
538.0,77.6,10,97.9,73.2,7,7,3.7,53.2,1
666.0,68.2,6,65.4,85.2,3,3,1.4,53.4,0
795.0,54.4,6,48.5,63.3,9,6,2.8,67.9,2
504.0,71.6,13,147.8,56.8,3,4,3.0,54.5,0
563.0,20.0,10,128.5,48.4,7,3,2.5,67.2,0
379.0,77.2,5,112.6,77.2,4,3,1.7,46.0,0
361.0,33.9,8,96.8,90.7,8,2,2.4,64.2,0
763.0,54.6,7,94.1,89.0,2,3,2.4,89.4,1
871.0,43.2,7,77.7,80.6,8,10,3.0,65.8,1
586.0,40.6,5,97.1,79.6,9,1,3.7,55.3,0
801.0,77.4,4,46.4,95.5,8,3,4.9,41.1,2
672.0,53.0,6,87.9,75.0,6,9,1.6,61.7,2
471.0,65.2,4,100.7,79.7,10,4,4.5,55.6,2
672.0,59.3,7,128.3,65.2,1,3,2.1,71.2,0
908.0,67.2,4,108.8,49.6,7,8,3.4,23.6,0
593.0,61.2,6,133.8,59.7,1,1,3.2,56.2,0
913.0,40.8,5,150.5,69.9,7,5,3.2,68.4,1
100.0,74.9,5,141.7,70.9,2,1,3.9,62.6,0
764.0,52.6,3,124.1,98.9,8,7,2.5,53.3,1
617.0,36.7,4,110.4,71.2,2,5,2.3,53.1,1
540.0,53.6,10,80.6,87.7,3,2,4.4,38.0,0
618.0,82.5,8,132.2,63.5,3,1,1.9,67.6,0
202.0,72.8,2,160.4,65.3,1,7,1.7,68.5,1
556.0,54.8,7,120.3,50.1,5,1,1.1,31.7,0
671.0,54.8,2,167.5,58.9,5,3,1.8,75.3,1
896.0,55.2,6,64.2,77.9,10,6,3.1,46.9,2
496.0,91.2,6,75.4,70.1,5,6,3.2,52.5,1
438.0,65.7,3,135.7,84.1,9,7,2.0,97.1,2
500.0,66.5,3,117.9,72.7,6,1,1.3,92.0,0
783.0,75.5,11,149.4,64.7,6,7,4.0,31.1,1
666.0,63.6,7,109.5,100.0,3,2,4.0,34.4,0
494.0,56.1,8,84.0,68.6,5,6,5.0,39.0,1
703.0,57.1,7,103.6,87.4,10,8,4.6,91.7,2
619.0,58.9,3,64.0,64.0,7,5,4.7,47.9,2
794.0,59.4,4,76.1,80.6,3,10,4.2,30.5,2
460.0,70.9,4,139.2,83.9,2,3,3.5,84.6,0
534.0,60.8,6,136.2,73.1,5,8,1.5,71.9,0
522.0,71.0,5,120.9,34.7,3,8,3.5,100.0,2
307.0,58.8,11,58.4,70.3,5,4,1.2,71.8,0
659.0,61.2,10,99.2,88.5,9,8,4.5,59.4,2
652.0,30.0,5,73.3,77.9,10,5,2.9,65.1,1
601.0,73.7,1,145.3,76.7,1,5,3.8,50.9,0
553.0,65.2,5,92.5,44.2,4,3,1.2,86.1,0
317.0,75.0,4,77.4,59.2,10,7,3.1,87.2,1
516.0,20.0,4,110.9,76.2,5,9,2.2,28.3,2
531.0,91.3,7,90.8,76.2,2,9,2.1,78.9,1
440.0,57.9,9,154.5,88.2,2,1,2.6,38.6,0
568.0,76.6,4,88.0,67.8,1,1,1.0,100.0,0
681.0,44.4,6,68.0,76.1,8,10,2.9,90.3,2
977.0,69.2,6,45.4,70.2,2,5,2.9,37.2,1
635.0,44.2,5,109.1,55.2,3,1,4.5,64.8,0
652.0,50.6,8,93.1,36.2,2,4,2.8,79.9,1
585.0,88.7,6,67.1,76.5,4,1,2.5,47.5,0
216.0,57.1,4,145.7,72.6,1,2,5.0,32.7,0
595.0,63.3,7,130.0,60.7,3,2,3.3,62.0,0
612.0,73.1,5,109.2,45.7,5,4,2.9,56.8,0
1093.0,67.4,2,150.9,79.4,10,8,3.0,41.7,2
562.0,62.3,2,129.9,66.0,1,2,4.2,84.7,1
660.0,65.5,10,85.3,78.4,4,9,2.4,34.2,0
593.0,96.1,10,78.8,98.0,6,9,2.6,57.8,2
366.0,59.1,7,134.5,37.9,4,2,4.0,63.6,1
829.0,63.0,6,121.9,59.5,7,1,1.3,66.2,0
750.0,75.8,6,115.1,66.9,7,10,4.5,82.6,2
758.0,76.6,6,84.6,91.8,6,10,2.7,55.2,2
418.0,77.8,8,128.2,45.5,9,9,3.3,10.0,1
881.0,69.6,4,87.3,99.0,2,2,4.0,52.3,2
320.0,42.9,3,106.9,72.0,10,8,2.1,74.5,2
717.0,84.5,6,153.4,68.6,8,3,4.6,57.1,2
1038.0,42.8,7,90.2,67.0,8,1,4.9,57.3,2
402.0,64.5,7,62.8,63.5,10,1,3.0,70.5,0
487.0,48.7,2,78.4,85.7,4,10,4.7,73.2,2
620.0,59.0,6,139.8,54.0,6,2,1.0,24.3,0
499.0,64.9,8,117.6,75.2,6,7,4.6,59.6,1
290.0,64.8,11,106.1,64.2,5,6,2.2,56.1,1
614.0,66.3,8,94.7,58.6,1,2,2.2,61.5,0
388.0,84.2,9,124.6,100.0,3,4,1.9,20.6,0
695.0,66.8,5,84.5,76.3,7,2,2.3,86.5,0
416.0,56.3,4,119.2,79.2,8,1,1.9,60.1,0
910.0,74.5,10,88.1,87.1,2,3,4.6,68.5,0
443.0,77.8,5,83.1,48.7,3,4,4.6,95.3,1
536.0,41.6,2,90.9,96.3,4,10,1.4,68.7,2
763.0,69.0,9,98.7,32.4,5,5,1.6,29.2,0
354.0,70.5,8,108.5,58.5,3,5,4.4,58.3,0
645.0,55.5,6,117.1,63.1,5,7,2.6,73.5,1
861.0,80.6,3,40.0,78.7,8,10,1.7,61.1,2
279.0,57.7,3,85.8,73.3,8,8,3.0,94.1,2
637.0,61.9,8,98.3,67.5,2,9,2.7,42.9,2
652.0,57.4,4,155.2,69.8,6,7,1.9,84.9,1
756.0,60.2,3,77.6,55.3,4,5,3.9,76.8,2
353.0,43.6,4,114.9,47.5,9,9,3.5,61.8,1
336.0,38.4,6,154.9,80.9,10,8,1.4,66.6,1
704.0,83.9,5,70.6,80.4,2,10,4.7,40.4,2
659.0,47.3,7,121.8,93.8,8,9,3.2,53.9,2
650.0,45.1,10,85.9,58.1,1,10,2.0,71.5,1
669.0,27.7,8,94.9,80.4,6,8,1.8,57.0,1
464.0,50.4,7,85.9,65.7,10,6,1.5,61.2,1
646.0,40.2,5,88.0,87.9,1,4,2.7,79.8,1
659.0,84.6,5,191.7,85.3,2,9,1.5,21.9,1
457.0,75.1,6,135.3,73.2,3,9,2.7,67.4,0
973.0,49.7,6,143.1,64.9,9,10,1.6,95.5,2
695.0,93.8,3,124.8,84.4,5,10,3.6,52.5,2
362.0,74.7,7,61.8,79.7,10,9,4.1,35.1,2
731.0,55.1,4,121.8,59.7,10,10,3.2,52.2,2
405.0,22.5,7,142.2,50.1,2,3,3.7,29.7,0
757.0,94.4,6,84.4,65.7,10,3,4.8,64.5,2
832.0,39.2,7,139.0,92.7,5,6,3.6,58.5,2
436.0,35.3,4,131.1,87.2,5,6,2.5,66.4,1
793.0,75.3,3,165.6,53.3,1,6,2.8,57.4,1
683.0,96.6,4,97.5,52.5,3,5,4.4,63.9,1
764.0,80.8,6,77.1,89.1,5,5,1.5,69.0,1
979.0,68.5,5,99.2,53.0,9,2,2.3,36.0,1
551.0,68.9,5,153.1,77.6,10,7,3.3,66.9,2
449.0,72.8,12,55.1,60.8,1,4,3.7,89.0,1
422.0,71.4,6,47.9,94.3,8,3,4.1,40.8,1
437.0,64.2,4,112.7,58.4,1,8,2.3,66.2,1
585.0,61.6,6,96.7,87.2,9,4,1.6,85.9,0
668.0,59.1,6,110.2,72.8,6,4,4.8,36.9,2
655.0,48.7,9,138.4,73.8,1,8,1.3,76.0,1
765.0,55.8,9,93.4,40.4,8,1,1.4,55.6,0
603.0,34.6,5,53.8,37.0,5,9,3.0,80.2,2
891.0,58.5,7,171.3,66.7,7,7,4.3,43.5,0
547.0,45.2,10,80.1,73.7,7,2,4.1,59.8,0
1144.0,43.4,2,78.2,53.1,7,6,4.8,29.6,2
